county,name,city
GRAD ZAGREB,Agronomska škola Zagreb,Zagreb
DUBROVAČKO-NERETVANSKA,Biskupijska klasična gimnazija Ruđera Boškovića s pravom javnosti,Dubrovnik
GRAD ZAGREB,Centar za autizam,Zagreb
OSJEČKO-BARANJSKA,Centar za autizam,Osijek
PRIMORSKO-GORANSKA,Centar za autizam Rijeka,Rijeka
GRAD ZAGREB,Centar za odgoj i obrazovanje Goljak,Zagreb
PRIMORSKO-GORANSKA,Centar za odgoj i obrazovanje,Rijeka
MEĐIMURSKA,Centar za odgoj i obrazovanje Čakovec,Čakovec
KARLOVAČKA,Centar za odgoj i obrazovanje Djece i Mladeži,Karlovac
OSJEČKO-BARANJSKA,Centar za odgoj i obrazovanje Ivan Štark,Osijek
SPLITSKO-DALMATINSKA,Centar za odgoj i obrazovanje Juraj Bonači,Split
KRAPINSKO-ZAGORSKA,Centar za odgoj i obrazovanje Krapinske Toplice,Krapinske Toplice
BJELOVARSKO-BILOGORSKA,Centar za odgoj i obrazovanje Rudolf Steiner Daruvar,Daruvar
SPLITSKO-DALMATINSKA,Centar za odgoj i obrazovanje Slava Raškaj,Split
GRAD ZAGREB,Centar za odgoj i obrazovanje Slave Raškaj Zagreb,Zagreb
ŠIBENSKO-KNINSKA,Centar za odgoj i obrazovanje Šubićevac,Šibenik
VARAŽDINSKA,Centar za odgoj i obrazovanje Tomislav Špoljar,Varaždin
GRAD ZAGREB,Centar za odgoj i obrazovanje Tuškanac- Zagreb,Zagreb
ZAGREBAČKA,Centar za odgoj i obrazovanje Velika Gorica,Velika Gorica
GRAD ZAGREB,Centar za odgoj i obrazovanje Vinko Bek,Zagreb
KRAPINSKO-ZAGORSKA,Centar za odgoj i obrazovanje Zajezda,Zajezda
BJELOVARSKO-BILOGORSKA,"Centar za odgoj, obrazovanje i razvojnu podršku Bjelovar",Bjelovar
VIROVITIČKO-PODRAVSKA,"Centar za odgoj, obrazovanje i razvojnu podršku dr. Terezija Salaj Rakić",Virovitica
KOPRIVNIČKO-KRIŽEVAČKA,"Centar za odgoj, obrazovanje i rehabilitaciju Križevci",Križevci
KOPRIVNIČKO-KRIŽEVAČKA,"Centar za odgoj, obrazovanje i rehabilitaciju Podravsko Sunce",Koprivnica
VARAŽDINSKA,Centar za pružanje usluga u zajednici Ivanec,Ivanec
PRIMORSKO-GORANSKA,Centar za pružanje usluga u zajednici Mali Lošinj,Mali Lošinj
BJELOVARSKO-BILOGORSKA,Češka osnovna škola Jana Amosa Komenskog - Česká Základní škola Jana Amose Komenského,Daruvar
BJELOVARSKO-BILOGORSKA,Češka osnovna škola Josipa Ružičke Končanica-Česká Základní škola Josefa Růžičky Končenice,Končanica
GRAD ZAGREB,Druga ekonomska škola,Zagreb
VARAŽDINSKA,Druga gimnazija Varaždin,Varaždin
OSJEČKO-BARANJSKA,Druga srednja škola Beli Manastir,Beli Manastir
PRIMORSKO-GORANSKA,Drvodjeljska i strojarska škola Rijeka,Rijeka
VUKOVARSKO-SRIJEMSKA,Drvodjelska tehnička škola,Vinkovci
DUBROVAČKO-NERETVANSKA,Dubrovačka privatna gimnazija,Dubrovnik
OSJEČKO-BARANJSKA,EDukOS-privatna srednja škola s pravom javnosti,Osijek
BJELOVARSKO-BILOGORSKA,Ekonomska i Birotehnička škola Bjelovar,Bjelovar
DUBROVAČKO-NERETVANSKA,Ekonomska i trgovačka škola,Dubrovnik
MEĐIMURSKA,Ekonomska i trgovačka škola,Čakovec
VUKOVARSKO-SRIJEMSKA,Ekonomska i trgovačka škola Ivana Domca,Vinkovci
BJELOVARSKO-BILOGORSKA,Ekonomska i turistička škola Daruvar,Daruvar
SPLITSKO-DALMATINSKA,Ekonomska i Upravna škola,Split
OSJEČKO-BARANJSKA,Ekonomska i Upravna škola Osijek,Osijek
SPLITSKO-DALMATINSKA,Ekonomska škola,Imotski
OSJEČKO-BARANJSKA,Ekonomska škola Braća Radić,Đakovo
PRIMORSKO-GORANSKA,Ekonomska škola Mije Mirkovića Rijeka,Rijeka
POŽEŠKO-SLAVONSKA,Ekonomska škola Požega - izdvojena lokacija Pleternica,Pleternica
ISTARSKA,Ekonomska škola Pula,Pula
ŠIBENSKO-KNINSKA,Ekonomska škola Šibenik,Šibenik
SISAČKO-MOSLAVAČKA,Ekonomska škola Sisak,Sisak
ZAGREBAČKA,Ekonomska škola Velika Gorica,Velika Gorica
POŽEŠKO-SLAVONSKA,"Ekonomska škola, Požega",Požega
ZAGREBAČKA,"Ekonomska, trgovačka i ugostiteljska škola - Samobor",Samobor
KARLOVAČKA,Ekonomsko - turistička škola,Karlovac
ZADARSKA,Ekonomsko-Birotehnička i trgovačka škola,Zadar
BRODSKO-POSAVSKA,Ekonomsko-Birotehnička škola,Slavonski Brod
PRIMORSKO-GORANSKA,Elektroindustrijska i obrtnička škola Rijeka,Rijeka
GRAD ZAGREB,Elektrostrojarska obrtnička škola,Zagreb
VARAŽDINSKA,Elektrostrojarska škola,Varaždin
BRODSKO-POSAVSKA,Elektrotehnička i Ekonomska škola,Nova Gradiška
OSJEČKO-BARANJSKA,Elektrotehnička i prometna škola Osijek,Osijek
GRAD ZAGREB,Elektrotehnička škola,Zagreb
SPLITSKO-DALMATINSKA,Elektrotehnička škola - Split,Split
GRAD ZAGREB,"Epoha, privatna gimnazija s pravom javnosti",Zagreb
GRAD ZAGREB,"Epoha, privatna osnovna škola s pravom javnosti",Zagreb
SPLITSKO-DALMATINSKA,Franjevačka klasična gimnazija i strukovna škola u Sinju s pravom javnosti,Sinj
OSJEČKO-BARANJSKA,"Gaudeamus, prva privatna srednja škola u Osijeku s pravom javnosti",Osijek
GRAD ZAGREB,Geodetska škola,Zagreb
KOPRIVNIČKO-KRIŽEVAČKA,"Gimnazija "" Fran Galović"" Koprivnica",Koprivnica
OSJEČKO-BARANJSKA,Gimnazija a.g.Matoša,Đakovo
PRIMORSKO-GORANSKA,Gimnazija Andrije Mohorovičića Rijeka,Rijeka
ZAGREBAČKA,Gimnazija Antuna Gustava Matoša,Samobor
KRAPINSKO-ZAGORSKA,Gimnazija Antuna Gustava Matoša - Zabok,Zabok
ŠIBENSKO-KNINSKA,Gimnazija Antuna Vrančića,Šibenik
OSJEČKO-BARANJSKA,Gimnazija Beli Manastir,Beli Manastir
BJELOVARSKO-BILOGORSKA,Gimnazija Bjelovar,Bjelovar
BJELOVARSKO-BILOGORSKA,Gimnazija Daruvar,Daruvar
SPLITSKO-DALMATINSKA,Gimnazija Dinka Šimunovića u Sinju,Sinj
KOPRIVNIČKO-KRIŽEVAČKA,Gimnazija dr. Ivana Kranjčeva Đurđevac,Đurđevac
SPLITSKO-DALMATINSKA,Gimnazija dr. Mate Ujevića,Imotski
DUBROVAČKO-NERETVANSKA,Gimnazija Dubrovnik,Dubrovnik
PRIMORSKO-GORANSKA,Gimnazija Eugena Kumičića Opatija,Opatija
ZADARSKA,Gimnazija Franje Petrića Zadar,Zadar
LIČKO-SENJSKA,Gimnazija Gospić,Gospić
GRAD ZAGREB,"Gimnazija i ekonomska škola Benedikta Kotruljevića, s pravom javnosti",Zagreb
KARLOVAČKA,Gimnazija i strukovna škola Bernardina Frankopana,Ogulin
ISTARSKA,"Gimnazija i strukovna škola Jurja Dobrile, Pazin",Pazin
KOPRIVNIČKO-KRIŽEVAČKA,Gimnazija Ivana Zakmardija Dijankovečkoga Križevci,Križevci
MEĐIMURSKA,Gimnazija Josipa Slavenskog Čakovec,Čakovec
ZADARSKA,Gimnazija Jurja Barakovića,Zadar
KARLOVAČKA,Gimnazija Karlovac,Karlovac
GRAD ZAGREB,Gimnazija Lucijana Vranjanina,Zagreb
GRAD ZAGREB,Gimnazija Marul,Zagreb
BRODSKO-POSAVSKA,Gimnazija Matija Mesić,Slavonski Brod
VUKOVARSKO-SRIJEMSKA,Gimnazija Matije Antuna Reljkovića,Vinkovci
DUBROVAČKO-NERETVANSKA,Gimnazija Metković,Metković
BRODSKO-POSAVSKA,Gimnazija Nova Gradiška,Nova Gradiška
VIROVITIČKO-PODRAVSKA,Gimnazija Petra Preradovića Virovitica,Virovitica
POŽEŠKO-SLAVONSKA,Gimnazija Požega,Požega
ISTARSKA,Gimnazija Pula,Pula
GRAD ZAGREB,Gimnazija Sesvete,Sesvete
SISAČKO-MOSLAVAČKA,Gimnazija Sisak,Sisak
GRAD ZAGREB,Gimnazija Tituša Brezovačkog,Zagreb
ZAGREBAČKA,Gimnazija Velika Gorica,Velika Gorica
ZADARSKA,Gimnazija Vladimira Nazora,Zadar
VUKOVARSKO-SRIJEMSKA,Gimnazija Vukovar,Vukovar
VUKOVARSKO-SRIJEMSKA,Gimnazija Županja,Županja
SPLITSKO-DALMATINSKA,Gimnazijski Kolegij Kraljica Jelena s pravom javnosti,Split
GRAD ZAGREB,Gornjogradska gimnazija,Zagreb
MEĐIMURSKA,Gospodarska škola,Čakovec
ISTARSKA,Gospodarska škola Istituto Professionale,Buje
VARAŽDINSKA,Gospodarska škola Varaždin,Varaždin
PRIMORSKO-GORANSKA,Građevinska tehnička škola,Rijeka
MEĐIMURSKA,Graditeljska škola Čakovec,Čakovec
PRIMORSKO-GORANSKA,Graditeljska škola za Industriju i Obrt,Rijeka
GRAD ZAGREB,Graditeljska tehnička škola,Zagreb
VARAŽDINSKA,"Graditeljska, prirodoslovna i rudarska škola",Varaždin
OSJEČKO-BARANJSKA,Graditeljsko - Geodetska škola Osijek,Osijek
SPLITSKO-DALMATINSKA,Graditeljsko-Geodetska tehnička škola,Split
PRIMORSKO-GORANSKA,Hotelijersko - turistička škola,Opatija
ZADARSKA,Hotelijersko-turistička i ugostiteljska škola,Zadar
GRAD ZAGREB,Hotelijersko-turistička škola u Zagrebu,Zagreb
GRAD ZAGREB,Humanistička gimnazija,Zagreb
GRAD ZAGREB,I. gimnazija,Zagreb
OSJEČKO-BARANJSKA,I. Gimnazija Osijek,Osijek
SPLITSKO-DALMATINSKA,I. gimnazija Split,Split
GRAD ZAGREB,I. osnovna škola Dugave,Zagreb
BJELOVARSKO-BILOGORSKA,I. osnovna škola Bjelovar,Bjelovar
MEĐIMURSKA,I. osnovna škola Čakovec,Čakovec
SISAČKO-MOSLAVAČKA,I. osnovna škola Petrinja,Petrinja
VARAŽDINSKA,I. osnovna škola Varaždin,Varaždin
GRAD ZAGREB,I. tehnička škola Tesla,Zagreb
GRAD ZAGREB,II. gimnazija,Zagreb
SPLITSKO-DALMATINSKA,II. gimnazija Split,Split
OSJEČKO-BARANJSKA,II. gimnazija Osijek,Osijek
BJELOVARSKO-BILOGORSKA,II. osnovna škola Bjelovar,Bjelovar
MEĐIMURSKA,II. osnovna škola Čakovec,Čakovec
VARAŽDINSKA,II. osnovna škola Varaždin,Varaždin
GRAD ZAGREB,III. gimnazija,Zagreb
SPLITSKO-DALMATINSKA,III. gimnazija,Split
OSJEČKO-BARANJSKA,III. Gimnazija Osijek,Osijek
BJELOVARSKO-BILOGORSKA,III. osnovna škola Bjelovar,Bjelovar
MEĐIMURSKA,III. osnovna škola Čakovec,Čakovec
VARAŽDINSKA,III. osnovna škola Varaždin,Varaždin
SPLITSKO-DALMATINSKA,Industrijska škola,Split
GRAD ZAGREB,Industrijska strojarska škola,Zagreb
ISTARSKA,Industrijsko - obrtnička škola Pula,Pula
BRODSKO-POSAVSKA,Industrijsko obrtnička škola,Nova Gradiška
BRODSKO-POSAVSKA,Industrijsko-obrtnička škola,Slavonski Brod
ŠIBENSKO-KNINSKA,Industrijsko-obrtnička škola Šibenik,Šibenik
SISAČKO-MOSLAVAČKA,Industrijsko-obrtnička škola Sisak,Sisak
VIROVITIČKO-PODRAVSKA,Industrijsko-obrtnička škola Slatina,Slatina
VIROVITIČKO-PODRAVSKA,Industrijsko-obrtnička škola Virovitica,Virovitica
GRAD ZAGREB,Islamska gimnazija dr. Ahmeda Smajlovića,Zagreb
OSJEČKO-BARANJSKA,Isusovačka klasična gimnazija s pravom javnosti u Osijeku,Osijek
GRAD ZAGREB,IV. Gimnazija,Zagreb
SPLITSKO-DALMATINSKA,IV. gimnazija Marko Marulić,Split
BJELOVARSKO-BILOGORSKA,IV. osnovna škola Bjelovar,Bjelovar
VARAŽDINSKA,IV. osnovna škola Varaždin,Varaždin
GRAD ZAGREB,IX. gimnazija,Zagreb
ZADARSKA,Katolička gimnazija Ivana Pavla II.,Zadar
POŽEŠKO-SLAVONSKA,Katolička gimnazija s pravom javnosti,Požega
VIROVITIČKO-PODRAVSKA,Katolička klasična gimnazija s pravom javnosti u Virovitici,Virovitica
SISAČKO-MOSLAVAČKA,Katolička opća gimnazija,Popovača
ŠIBENSKO-KNINSKA,Katolička osnovna škola,Šibenik
ZADARSKA,"Katolička osnovna škola ""Ivo Mašina""",Zadar
BRODSKO-POSAVSKA,Katolička osnovna škola Andrije Živkovića,Slavonski Brod
PRIMORSKO-GORANSKA,Katolička osnovna škola Josip Pavlišić,Rijeka
VARAŽDINSKA,Katolička osnovna škola Svete Uršule,Varaždin
MEĐIMURSKA,"Katolička osnovna škola Svetoga Josipa, Čakovec",Čakovec
SISAČKO-MOSLAVAČKA,Katolička osnovna škola u Novskoj,Novska
POŽEŠKO-SLAVONSKA,Katolička osnovna škola u Požegi,Požega
SISAČKO-MOSLAVAČKA,Katolička osnovna škola u Sisku,Sisak
VIROVITIČKO-PODRAVSKA,Katolička osnovna škola u Virovitici,Virovitica
GRAD ZAGREB,Klasična gimnazija,Zagreb
BRODSKO-POSAVSKA,Klasična gimnazija fra Marijana Lanosovića s pravom javnosti,Slavonski Brod
SPLITSKO-DALMATINSKA,Klesarska škola,Pučišća
BJELOVARSKO-BILOGORSKA,Komercijalna i trgovačka škola Bjelovar,Bjelovar
SPLITSKO-DALMATINSKA,Komercijalno-trgovačka škola Split,Split
GRAD ZAGREB,Linigra-privatna škola s pravom javnosti,Zagreb
KARLOVAČKA,Medicinska škola,Karlovac
ŠIBENSKO-KNINSKA,Medicinska škola,Šibenik
ZADARSKA,Medicinska škola Ante Kuzmanića-Zadar,Zadar
BJELOVARSKO-BILOGORSKA,Medicinska škola Bjelovar,Bjelovar
DUBROVAČKO-NERETVANSKA,Medicinska škola Dubrovnik,Dubrovnik
OSJEČKO-BARANJSKA,Medicinska škola Osijek,Osijek
ISTARSKA,Medicinska škola Pula,Pula
PRIMORSKO-GORANSKA,Medicinska škola u Rijeci,Rijeka
VARAŽDINSKA,Medicinska škola Varaždin,Varaždin
GRAD ZAGREB,"Međunarodna britanska škola ""Vedri obzori""",Zagreb
PRIMORSKO-GORANSKA,Međunarodna osnovna škola Adria,Opatija
SPLITSKO-DALMATINSKA,Međunarodna škola Harfa,Split
SPLITSKO-DALMATINSKA,Međunarodna škola Ilirija,Supetar
GRAD ZAGREB,Međunarodna škola Linea - Linea International School,Sesvete
PRIMORSKO-GORANSKA,Međunarodna srednja škola Adria,Opatija
KARLOVAČKA,Mješovita Industrijsko - obrtnička škola,Karlovac
SPLITSKO-DALMATINSKA,Nadbiskupijska klasična gimnazija Don Frane Bulić - s pravom javnosti,Split
GRAD ZAGREB,Nadbiskupska klasična gimnazija s pravom javnosti,Zagreb
SPLITSKO-DALMATINSKA,Obrtna tehnička škola,Split
GRAD ZAGREB,Obrtnička i industrijska Graditeljska škola,Zagreb
DUBROVAČKO-NERETVANSKA,Obrtnička i tehnička škola Dubrovnik,Dubrovnik
KARLOVAČKA,Obrtnička i tehnička škola Ogulin,Ogulin
POŽEŠKO-SLAVONSKA,Obrtnička škola,Požega
PRIMORSKO-GORANSKA,Obrtnička škola,Opatija
SPLITSKO-DALMATINSKA,Obrtnička škola,Split
BJELOVARSKO-BILOGORSKA,Obrtnička škola Bjelovar,Bjelovar
ZADARSKA,Obrtnička škola Gojka Matuline Zadar,Zadar
KOPRIVNIČKO-KRIŽEVAČKA,Obrtnička škola Koprivnica,Koprivnica
OSJEČKO-BARANJSKA,Obrtnička škola Osijek,Osijek
GRAD ZAGREB,Obrtnička škola za Osobne Usluge,Zagreb
VUKOVARSKO-SRIJEMSKA,"Obrtničko - industrijska škola, Županja",Županja
SPLITSKO-DALMATINSKA,Obrtničko-industrijska škola u Imotskom,Imotski
BRODSKO-POSAVSKA,Obrtničko-tehnička škola,Slavonski Brod
GRAD ZAGREB,Opća privatna gimnazija,Zagreb
GRAD ZAGREB,Osnovna Montessori škola Barunice Dedee Vranyczany,Zagreb
ISTARSKA,Osnovna škola - Scuola elementare Giuseppina Martinuzzi Pula-Pola,Pula
PRIMORSKO-GORANSKA,Osnovna škola - scuola elementare ˝San Nicolo˝,Rijeka
PRIMORSKO-GORANSKA,Osnovna škola - scuola elementare Belvedere,Rijeka
PRIMORSKO-GORANSKA,Osnovna škola - Scuola elementare Dolac,Rijeka
PRIMORSKO-GORANSKA,Osnovna škola - Scuola elementare Gelsi,Rijeka
ISTARSKA,Osnovna škola - Scuola elementare Mate Balote Buje - Buie,Buje
ISTARSKA,Osnovna škola - Scuola elementare Milana Šorga Oprtalj - Portole,Oprtalj
ISTARSKA,Osnovna škola - scuola elementare Rivarela,Novigrad
SISAČKO-MOSLAVAČKA,"Osnovna škola ""Braća Bobetko"" Sisak",Sisak
DUBROVAČKO-NERETVANSKA,"Osnovna škola ""Braća Glumac""",Lastovo
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""Braća Radić""",Koprivnica
KARLOVAČKA,"Osnovna škola ""Braća Seljan""",Karlovac
POŽEŠKO-SLAVONSKA,"Osnovna škola ""Dobriša Cesarić""",Požega
OSJEČKO-BARANJSKA,"Osnovna škola ""Dr. Franjo Tuđman""",Beli Manastir
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""Đuro Ester""",Koprivnica
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""Grigor Vitez""",Sveti Ivan Žabno
